Gene_ID,Locus_Tag,Feature_Type,Name,BlastRules,COG,EC,GO,KEGG,NCBIFam,PFAM,RFAM,RefSeq,SO,UniParc,UniRef
MPDKNC_01112,MPDKNC_01112,CDS,AraC family transcriptional regulator,,COG2207|K,,,K07720,,,,WP_048005290.1,0001217,UPI00064E4F0A,UniRef100_UPI00064E4F0A|UniRef50_U5LBS5|UniRef90_A0A0M0G4M1
MPDKNC_01113,MPDKNC_01113,CDS,ABC transporter permease,,COG0395|G,,,K17320,,,,WP_048005289.1,0001217,UPI00064E625C,UniRef100_A0A0J5VD99|UniRef50_A0A1T5IHT7|UniRef90_A0A0J5VD99
MPDKNC_01114,MPDKNC_01114,CDS,Protein lplB,,COG4209|G,,,K17319,,,,,0001217,UPI00064FF257,UniRef100_A0A0J5SIA2|UniRef50_C0SPB3|UniRef90_A0A0M0G5L3
MPDKNC_01115,MPDKNC_01115,CDS,DUF624 domain-containing protein,,COG5578|S,,,,,,,WP_238283827.1,0001217,UPI001EE2BE2D,UniRef100_UPI001EE2BE2D|UniRef50_A0A0M0G4F5|UniRef90_A0A0M0G4F5
MPDKNC_01116,MPDKNC_01116,CDS,Extracellular solute-binding protein,,COG1653|G,,,K25673,,,,WP_053428319.1,0001217,UPI0006A9E3F1,UniRef100_A0A0M0G4H4|UniRef50_A0A1B9AZK6|UniRef90_A0A0M0G4H4
MPDKNC_01117,MPDKNC_01117,CDS,Glycosyl hydrolase family 88,,COG4225|G,3.2.1.172,,K15532,,,,WP_238283828.1,0001217,UPI001EE2BBE9,UniRef100_UPI001EE2BBE9|UniRef50_A0A1E3L7P8|UniRef90_A0A0M0G4L6
MPDKNC_01118,MPDKNC_01118,CDS,Endopolygalacturonase,,COG5434|G,,,,,,,WP_238283829.1,0001217,UPI001EE1CBC7,UniRef100_UPI001EE1CBC7|UniRef50_A0A090ZIK2|UniRef90_A0A0M0G5A3
MPDKNC_01119,MPDKNC_01119,CDS,Hydrolase,,COG0412|Q,,,,,,,WP_238283830.1,0001217,UPI001EE3032C,UniRef100_UPI001EE3032C|UniRef50_A0A378Y366|UniRef90_A0A0M0G5K8
MPDKNC_01120,MPDKNC_01120,CDS,Pectinesterase,,COG4677|GI,,,,,,,WP_238283831.1,0001217,UPI001EE16A25,UniRef100_UPI001EE16A25|UniRef50_A0A0M0G4E5|UniRef90_A0A0M0G4E5
MPDKNC_01121,MPDKNC_01121,CDS,DUF4064 domain-containing protein,,,,,,,,,WP_238283832.1,0001217,UPI001EE3257C,UniRef100_UPI001EE3257C|UniRef50_A0A165L2L7|UniRef90_A0A165L2L7
MPDKNC_01122,MPDKNC_01122,CDS,Beta-xylosidase,,,,,,,,,WP_238283833.1,0001217,UPI001EE24CAA,UniRef100_UPI001EE24CAA|UniRef50_A0A377KKE8|UniRef90_A0A0M0G4H0
MPDKNC_01123,MPDKNC_01123,CDS,Lipoprotein SmpA/OmlA domain-containing protein,,,,,,,,,WP_238283834.1,0001217,UPI001EE1D60D,UniRef100_UPI001EE1D60D|UniRef50_A0A0M0G4L3|UniRef90_UPI0009A5FABC
MPDKNC_01124,MPDKNC_01124,CDS,DUF3953 domain-containing protein,,,,,,,,,WP_053428311.1,0001217,UPI0006A98612,UniRef100_UPI0006A98612|UniRef50_A0A0M0G599|UniRef90_A0A0M0G599
MPDKNC_01125,MPDKNC_01125,CDS,GyrI-like domain-containing protein,,,,,,,,,,0001217,,UniRef50_O34775|UniRef90_UPI001EE1DB1F
MPDKNC_01126,MPDKNC_01126,CDS,MMPL domain-containing protein,,COG2409|R,,,,,,,WP_238283835.1,0001217,UPI001EE36A15,UniRef100_UPI001EE36A15|UniRef50_A0A0A3HXK0|UniRef90_A0A0M0G4G3
MPDKNC_01127,MPDKNC_01127,CDS,LysE family L-lysine exporter,,COG1279|E,,,K06895,,,,WP_148985130.1,0001217,UPI0011E9111E,UniRef100_A0A5D4RZQ2|UniRef50_Q92HQ4|UniRef90_A0A0M0G4K8
MPDKNC_01128,MPDKNC_01128,CDS,GntR family transcriptional regulator,,COG1167|KE,,,K18907,,,,WP_238283836.1,0001217,UPI001EE1D9F9,UniRef100_UPI001EE1D9F9|UniRef50_A0A6V7R2E7|UniRef90_A0A0M0G594
MPDKNC_01129,MPDKNC_01129,CDS,Heme response regulator HssR,,COG0745|TK,,,,,,,WP_238283837.1,0001217,UPI001EE2811C,UniRef100_UPI001EE2811C|UniRef50_A0A9C7L9C6|UniRef90_A0A0M0G5J8
MPDKNC_01130,MPDKNC_01130,CDS,Heme sensor protein HssS,,COG0642|T,,,,,,,,0001217,,UniRef50_A0A098ENK4|UniRef90_A0A0M0G4D7
MPDKNC_01131,MPDKNC_01131,CDS,AraC family transcriptional regulator,,,,,,,,,,0001217,,UniRef50_A0A0M0G4F9|UniRef90_A0A5D4RZL9
MPDKNC_01132,MPDKNC_01132,CDS,Glyoxalase,,COG3607|R,,,,,,,,0001217,,UniRef50_A0A1I6C9S8|UniRef90_A0A0M0G759
MPDKNC_01133,MPDKNC_01133,CDS,hypothetical protein,,,,,,,,,,0001217,,UniRef50_A0A0M0G4K3|UniRef90_A0A5D4RYZ4
MPDKNC_01134,MPDKNC_01134,CDS,Alpha/beta hydrolase,,,,,,,,,WP_238283842.1,0001217,UPI001EE31624,UniRef100_UPI001EE31624|UniRef50_A0A5D4RWL9|UniRef90_A0A5D4RWL9
MPDKNC_01135,MPDKNC_01135,CDS,Major facilitator superfamily (MFS) profile domain-containing protein,,,,,K08217,,,,WP_079515113.1,0001217,UPI0009A637AF,UniRef100_A0A5D4RVV5|UniRef50_A0A0M0G4J8|UniRef90_A0A0M0G4J8
MPDKNC_01136,MPDKNC_01136,CDS,HTH cro/C1-type domain-containing protein,,COG1426|D,,,,,,,WP_148985135.1,0001217,UPI0011E92CA1,UniRef100_A0A5D4RXG5|UniRef50_A0A0M0G585|UniRef90_A0A0M0G585
MPDKNC_01137,MPDKNC_01137,CDS,VanZ-like domain-containing protein,,COG4767|V,,,,,,,WP_238283843.1,0001217,UPI001EE3142C,UniRef100_UPI001EE3142C|UniRef50_A0A0M0G5I8|UniRef90_A0A0M0G5I8
MPDKNC_01138,MPDKNC_01138,CDS,Type 4 fimbrial biogenesis protein PilX N-terminal domain-containing protein,,,,,,,,,WP_238283844.1,0001217,UPI001EE1CE42,UniRef100_UPI001EE1CE42|UniRef50_A0A0M0G4C9|UniRef90_A0A0M0G4C9
MPDKNC_01139,MPDKNC_01139,CDS,Prepilin-type N-terminal cleavage/methylation domain-containing protein,,COG4966|NW,,,,,,,WP_238283845.1,0001217,UPI001EE19EA0,UniRef100_UPI001EE19EA0|UniRef50_A0A0M0G4F1|UniRef90_A0A0M0G4F1
MPDKNC_01140,MPDKNC_01140,CDS,Prepilin-type N-terminal cleavage/methylation domain-containing protein,,COG2165|NU,,,,,,,WP_238283846.1,0001217,UPI001EE1746B,UniRef100_UPI001EE1746B|UniRef50_A0A161TAP9|UniRef90_A0A161TAP9
MPDKNC_01141,MPDKNC_01141,CDS,Phage protein,,,,,,,,,WP_238283847.1,0001217,UPI001EE31B73,UniRef100_UPI001EE31B73|UniRef50_A0A0A2USH4|UniRef90_A0A0M0G4J3
MPDKNC_01142,MPDKNC_01142,CDS,hypothetical protein,,,,,,,,,,0001217,,UniRef50_UPI001EE37B20|UniRef90_UPI001EE37B20
MPDKNC_01143,MPDKNC_01143,CDS,DNA polymerase III subunit beta,,COG0592|L,2.7.7.7,0003677|0003887|0006260|0009360,K02338,,,,WP_238283849.1,0001217,UPI001EE242F9,UniRef100_UPI001EE242F9|UniRef50_A0A5D4RUW8|UniRef90_A0A5D4RUW8
MPDKNC_01144,MPDKNC_01144,CDS,NUDIX hydrolase,,COG1051|F,,,,,,,WP_238283850.1,0001217,UPI001EE21391,UniRef100_UPI001EE21391|UniRef50_A0A161RVB6|UniRef90_A0A161RVB6
MPDKNC_01145,MPDKNC_01145,CDS,serine hydrolase,,,,,,,,,,0001217,,UniRef50_A0A0M0G4I9|UniRef90_UPI0025B24ECF
MPDKNC_01146,MPDKNC_01146,CDS,Serine hydrolase,,,,,,,,,,0001217,,UniRef50_A0A163LRQ4|UniRef90_A0A5D4RWN5
MPDKNC_01147,MPDKNC_01147,CDS,GTP cyclohydrolase 1 type 2-like protein,,,,,,,,,WP_238283851.1,0001217,UPI001EE34137,UniRef100_UPI001EE34137|UniRef50_A0A1I7KNU7|UniRef90_A0A0M0G577
MPDKNC_01148,MPDKNC_01148,CDS,serine hydrolase,,,,,,,,,,0001217,,UniRef50_A0A0M0G5G0|UniRef90_UPI001EE28A62
MPDKNC_01149,MPDKNC_01149,CDS,2'-5' RNA ligase,,COG1514|J,,,,,,,WP_238283853.1,0001217,UPI001EE1B775,UniRef100_UPI001EE1B775|UniRef50_I0JLB3|UniRef90_A0A0M0G4C1
MPDKNC_01150,MPDKNC_01150,CDS,AB hydrolase-1 domain-containing protein,,COG0596|HR,,,,,,,WP_238283854.1,0001217,UPI001EE15612,UniRef100_UPI001EE15612|UniRef50_A0A0M0G4E2|UniRef90_A0A0M0G4E2
MPDKNC_01151,MPDKNC_01151,CDS,zinc-binding dehydrogenase,,,,,,,,,,0001217,,UniRef50_UPI001F0892EA
MPDKNC_01152,MPDKNC_01152,CDS,GNAT family N-acetyltransferase,,,,,,,,,WP_337946931.1,0001217,UPI003080328D,UniRef100_UPI003080328D|UniRef50_UPI003080328D|UniRef90_UPI003080328D
MPDKNC_01153,MPDKNC_01153,CDS,hypothetical protein,,,,,,,,,WP_337946932.1,0001217,UPI0030808955,UniRef100_UPI0030808955|UniRef50_UPI0030808955|UniRef90_UPI0030808955
MPDKNC_01154,MPDKNC_01154,CDS,hypothetical protein,,,,,,,,,,,,
MPDKNC_01155,MPDKNC_01155,CDS,nucleotidyltransferase domain-containing protein,,,,,,,,,WP_238283856.1,0001217,UPI001EE1A5B9,UniRef100_UPI001EE1A5B9|UniRef50_A0A0M0G4B6|UniRef90_UPI001EE1A5B9
MPDKNC_01156,MPDKNC_01156,CDS,YunG,,,,,,,,,WP_238283857.1,0001217,UPI001EE25C1E,UniRef100_UPI001EE25C1E|UniRef50_A0A0M0G4I0|UniRef90_A0A5D4RUN8
MPDKNC_01157,MPDKNC_01157,CDS,metallophosphoesterase,,,,,K07098,,,,WP_238283858.1,0001217,UPI001EE22338,UniRef100_UPI001EE22338|UniRef50_A0A1I5SUY1|UniRef90_UPI001EE22338
MPDKNC_01158,MPDKNC_01158,CDS,hypothetical protein,,,,,,,,,WP_238283859.1,0001217,UPI001EE16D1B,UniRef100_UPI001EE16D1B|UniRef50_A0A0M0G4B4|UniRef90_A0A0M0G4B4
MPDKNCJOEG_188,,regulatory_region,azaaromatic riboswitch aptamer (yjdF RNA),,,,,,,,RF01764,,0000035,,
MPDKNC_01159,MPDKNC_01159,CDS,DUF2992 domain-containing protein,,,,,,,,,WP_238283860.1,0001217,UPI001EE287BB,UniRef100_UPI001EE287BB|UniRef50_A0A0Q3WR13|UniRef90_A0A0M0G668
MPDKNC_01160,MPDKNC_01160,CDS,hypothetical protein,,,,,,,,,,,,
MPDKNC_01161,MPDKNC_01161,CDS,hypothetical protein,,,,,,,,,WP_238283861.1,0001217,UPI001EE35749,UniRef100_UPI001EE35749|UniRef50_UPI001EE35749|UniRef90_UPI001EE35749
MPDKNC_01162,MPDKNC_01162,CDS,Lipoprotein,,,,,,,,,WP_238283862.1,0001217,UPI001EE1F01F,UniRef100_UPI001EE1F01F|UniRef50_A0A5D4RVX3|UniRef90_UPI001EE1F01F
MPDKNC_01163,MPDKNC_01163,CDS,hypothetical protein,,,,,,,,,WP_238283863.1,0001217,UPI001EE22A15,UniRef100_UPI001EE22A15|UniRef50_UPI001EE22A15|UniRef90_UPI001EE22A15
MPDKNC_01164,MPDKNC_01164,CDS,Nuclear transport factor 2 family protein,,COG4875|O,,,,,,,WP_238283864.1,0001217,UPI001EE398AF,UniRef100_UPI001EE398AF|UniRef50_A0A060LSL5|UniRef90_A0A5D4RVK9
MPDKNC_01165,MPDKNC_01165,CDS,Proline iminopeptidase,,COG0596|HR,,,,,,,WP_238283865.1,0001217,UPI001EE35E13,UniRef100_UPI001EE35E13|UniRef50_A0A073KRS9|UniRef90_A0A0M0G5E5
MPDKNC_01166,MPDKNC_01166,CDS,hypothetical protein,,,,,,,,,,0001217,,UniRef50_UPI00296E3DA4|UniRef90_UPI00296E3DA4
MPDKNC_01167,MPDKNC_01167,CDS,NUDIX domain-containing protein,,,,,,,,,WP_238283867.1,0001217,UPI001EE18483,UniRef100_UPI001EE18483|UniRef50_UPI001EE18483|UniRef90_UPI001EE18483
MPDKNC_01168,MPDKNC_01168,CDS,Methyltransferase,,COG4122|J,,,,,,,WP_238283868.1,0001217,UPI001EE19903,UniRef100_UPI001EE19903|UniRef50_A0A0E4CV51|UniRef90_A0A0M0G4H1
MPDKNC_01169,MPDKNC_01169,CDS,Ribosomal N-acetyltransferase YdaF,,COG1670|JO,,,,,,,WP_238283869.1,0001217,UPI001EE325DF,UniRef100_UPI001EE325DF|UniRef50_A0A3A1R6Y8|UniRef90_A0A0M0G557
MPDKNC_01170,MPDKNC_01170,CDS,DUF3885 domain-containing protein,,,,,,,,,WP_238283870.1,0001217,UPI001EE347B0,UniRef100_UPI001EE347B0|UniRef50_A0A5D4RZP8|UniRef90_A0A5D4RZP8
MPDKNC_01171,MPDKNC_01171,CDS,Glyoxal reductase,,COG0656|Q,,,,,,,WP_238283871.1,0001217,UPI001EE17D8E,UniRef100_UPI001EE17D8E|UniRef50_A0A2X0XHW7|UniRef90_A0A0M0G499
MPDKNC_01172,MPDKNC_01172,CDS,DUF4362 domain-containing protein,,,,,,,,,WP_238283872.1,0001217,UPI001EE2C0A9,UniRef100_UPI001EE2C0A9|UniRef50_A0A0M0G4C6|UniRef90_UPI001EE2C0A9
MPDKNC_01173,MPDKNC_01173,CDS,class I SAM-dependent methyltransferase,,,,,,,,,WP_238283873.1,0001217,UPI001EE2BD07,UniRef100_UPI001EE2BD07|UniRef50_A0A6N8HQP2|UniRef90_UPI001EE2BD07
MPDKNC_01174,MPDKNC_01174,CDS,Epimerase,,,5.3.3.17,,K06998,,,,,0001217,,UniRef50_A0A165L216|UniRef90_A0A0M0G4C3
MPDKNC_01175,MPDKNC_01175,CDS,Glyoxalase,,COG3324|R,,,,,,,WP_218245607.1,0001217,UPI001C455F39,UniRef100_UPI001C455F39|UniRef50_Q6HB68|UniRef90_A0A0M0G6E2
MPDKNC_01176,MPDKNC_01176,CDS,HAD-IA family hydrolase,,COG1011|H,,,,,,,WP_056534109.1,0001217,UPI0006F322C5,UniRef100_UPI0006F322C5|UniRef50_A0A5D4RUQ7|UniRef90_A0A5D4RUQ7
MPDKNC_01177,MPDKNC_01177,CDS,phosphotransferase,,,,,,,,,WP_238283875.1,0001217,UPI001EE27B41,UniRef100_UPI001EE27B41|UniRef50_UPI001EE27B41|UniRef90_UPI001EE27B41
MPDKNC_01178,MPDKNC_01178,CDS,phosphotransferase,,,,,,,,,WP_238283876.1,0001217,UPI001EE2A98C,UniRef100_UPI001EE2A98C|UniRef50_UPI001EE2A98C|UniRef90_UPI001EE2A98C
MPDKNC_01179,MPDKNC_01179,CDS,Aspartate/glutamate racemase,,,,,,,,,,0001217,,UniRef50_A0A3N5XC16
MPDKNC_01180,MPDKNC_01180,CDS,Aspartate racemase,,,,,,,,,,0001217,,UniRef50_A0A1V6AUY4
MPDKNC_01181,MPDKNC_01181,CDS,Aldehyde dehydrogenase,,COG1012|I,,,,,,,,0001217,,UniRef50_A0A165L1Y8|UniRef90_A0A165L1Y8
MPDKNC_01182,MPDKNC_01182,CDS,Methyltransferase type 11 domain-containing protein,,,,,,,,,WP_238283878.1,0001217,UPI001EE2FB38,UniRef100_UPI001EE2FB38|UniRef50_A0A0A3IKL1|UniRef90_A0A0M0G4F7
MPDKNC_01183,MPDKNC_01183,CDS,hypothetical protein,,,,,,,,,WP_238283879.1,0001217,UPI001EE28F27,UniRef100_UPI001EE28F27|UniRef50_A0A0J5V8Z9|UniRef90_A0A0J5V8Z9
MPDKNC_01184,MPDKNC_01184,CDS,RNA polymerase alpha subunit C-terminal domain-containing protein,,,,,,,,,WP_238283880.1,0001217,UPI001EE353C3,UniRef100_UPI001EE353C3|UniRef50_A0A344LST8|UniRef90_A0A0M0G5C5
MPDKNC_01185,MPDKNC_01185,CDS,YrdB family protein,,,,,,,,,WP_238283881.1,0001217,UPI001EE17FCA,UniRef100_UPI001EE17FCA|UniRef50_A0A0M0G487|UniRef90_UPI001EE17FCA
MPDKNC_01186,MPDKNC_01186,CDS,TetR/AcrR family transcriptional regulator,,COG1309|K,,,,,,,WP_290031244.1,0001217,UPI0025AFE361,UniRef100_UPI0025AFE361|UniRef50_A0A6J4UWW0|UniRef90_A0A0M0G4B7
MPDKNC_01187,MPDKNC_01187,CDS,Metallo-beta-lactamase domain-containing protein,,COG0491|R,,,,,,,WP_079515155.1,0001217,UPI0009A839DE,UniRef100_UPI0009A839DE|UniRef50_O34910|UniRef90_A0A0M0G4F2
MPDKNC_01188,MPDKNC_01188,CDS,Phosphoglycerate mutase,,,,,,,,,WP_238283883.1,0001217,UPI001EE3895A,UniRef100_UPI001EE3895A|UniRef50_A0A0M0G532|UniRef90_A0A0M0G532
MPDKNC_01189,MPDKNC_01189,CDS,alcohol dehydrogenase catalytic domain-containing protein,,,,,,,,,,0001217,,UniRef50_A0A0M0G5B9|UniRef90_UPI001EE265D0
MPDKNC_01190,MPDKNC_01190,CDS,SAM-dependent methyltransferase,,,,,,,,,WP_238283884.1,0001217,UPI001EE30EA7,UniRef100_UPI001EE30EA7|UniRef50_A0A3A1R2K2|UniRef90_A0A5D4RV06
MPDKNC_01191,MPDKNC_01191,CDS,Mannitol-specific phosphotransferase enzyme IIA component,,COG4668|G,2.7.1.197,,K02800,,,,WP_238283885.1,0001217,UPI001EE24CCF,UniRef100_UPI001EE24CCF|UniRef50_P00550|UniRef90_A0A0M0G4E8
MPDKNC_01192,MPDKNC_01192,CDS,Sugar transporter,,COG3711|K,,,K03483,,,,WP_238283886.1,0001217,UPI001EE1C924,UniRef100_UPI001EE1C924|UniRef50_A0A2X4VH16|UniRef90_A0A0M0G526
MPDKNC_01193,MPDKNC_01193,CDS,mannitol-1-phosphate 5-dehydrogenase,,COG0246|G,1.1.1.17,0008926|0019594,K00009,,,,WP_238284386.1,0001217,UPI001EE1F0DB,UniRef100_UPI001EE1F0DB|UniRef50_U5L765|UniRef90_A0A0M0G7C5
MPDKNC_01194,MPDKNC_01194,CDS,PepSY domain-containing protein,,,,,,,,,WP_238283887.1,0001217,UPI001EE1D58F,UniRef100_UPI001EE1D58F|UniRef50_A0A165L1R2|UniRef90_A0A5D4RXL5
MPDKNC_01195,MPDKNC_01195,CDS,Glyoxalase,,,,,,,,,WP_238283888.1,0001217,UPI001EE2B445,UniRef100_UPI001EE2B445|UniRef50_A0A9W4PGE4|UniRef90_A0A0M0G477
MPDKNC_01196,MPDKNC_01196,CDS,hypothetical protein,,,,,,,,,,0001217,,UniRef50_A0A0M0G4A9
MPDKNC_01197,MPDKNC_01197,CDS,ArsR family transcriptional regulator,,COG0640|K,,,,,,,,0001217,,UniRef50_R7ZKK3|UniRef90_A0A0J5V9G7
MPDKNC_01198,MPDKNC_01198,CDS,Cd(2+)-exporting ATPase,,COG2217|P,,,,,,,WP_238283890.1,0001217,UPI001EE29793,UniRef100_UPI001EE29793|UniRef50_V9W4U1|UniRef90_A0A0M0G4E3
MPDKNC_01199,MPDKNC_01199,CDS,hypothetical protein,,,,,,,,,,,,
MPDKNC_01200,MPDKNC_01200,CDS,hypothetical protein,,,,,,,,,WP_238283891.1,0001217,UPI001EE185B2,UniRef100_UPI001EE185B2|UniRef50_A0A0M0G5B1|UniRef90_A0A5D4RUS6
MPDKNC_01201,MPDKNC_01201,CDS,GNAT family N-acetyltransferase,,,2.3.1.-|2.3.1.53,,K03825,,,,WP_238283892.1,0001217,UPI001EE2A45F,UniRef100_UPI001EE2A45F|UniRef50_A0A378XPY2|UniRef90_A0A5D4RZS9
MPDKNC_01202,MPDKNC_01202,CDS,ABC transporter ATP-binding protein,,COG1136|M,,,,,,,WP_056534175.1,0001217,UPI0006F68B33,UniRef100_A0A5D4RV16|UniRef50_A0A3P5XCF3|UniRef90_A0A0M0G4A5
MPDKNC_01203,MPDKNC_01203,CDS,ABC3 transporter permease C-terminal domain-containing protein,,COG4591|M,,,,,,,WP_238283893.1,0001217,UPI001EE28006,UniRef100_UPI001EE28006|UniRef50_A0A165L1P1|UniRef90_A0A165L1P1
MPDKNC_01204,MPDKNC_01204,CDS,hypothetical protein,,,,,,,,,WP_238283894.1,0001217,UPI001EE285AF,UniRef100_UPI001EE285AF|UniRef50_UPI001EE285AF|UniRef90_UPI001EE285AF
MPDKNC_01205,MPDKNC_01205,CDS,hypothetical protein,,,,,,,,,WP_238283895.1,0001217,UPI001EE242B3,UniRef100_UPI001EE242B3|UniRef50_UPI001EE242B3|UniRef90_UPI001EE242B3
MPDKNC_01206,MPDKNC_01206,CDS,putative glycolipid-binding domain-containing protein,,,,,,,,,WP_238283896.1,0001217,UPI001EE16430,UniRef100_UPI001EE16430|UniRef50_A0A0M0G4Y2|UniRef90_UPI00296E891E
MPDKNC_01207,MPDKNC_01207,CDS,hypothetical protein,,,,,,,,,WP_156183332.1,0001217,UPI000A850016,UniRef100_UPI000A850016|UniRef50_UPI00296E682F|UniRef90_UPI00296E682F
MPDKNC_01208,MPDKNC_01208,CDS,Methyltransferase,,COG2226|HJ,,,,,,,WP_238283897.1,0001217,UPI001EE2CED8,UniRef100_UPI001EE2CED8|UniRef50_A0A378Y5S3|UniRef90_A0A0M0G5A5
MPDKNC_01209,MPDKNC_01209,CDS,MerR family transcriptional regulator,,COG0789|K,,,K21745,,,,WP_056534189.1,0001217,UPI0006F987A7,UniRef100_UPI0006F987A7|UniRef50_A0A0M0KZM6|UniRef90_A0A0M0G466
MPDKNC_01210,MPDKNC_01210,CDS,copper chaperone CopZ,,COG2217|P,7.2.2.8,0005507|0046872,K17686,,,,WP_238283899.1,0001217,UPI001EE164D7,UniRef100_UPI001EE164D7|UniRef50_Q4A0G1|UniRef90_A0A165L1N0
MPDKNC_01211,MPDKNC_01211,CDS,copper chaperone CopZ,,COG2608|P,,0005507,,,,,WP_238283900.1,0001217,UPI001EE360EE,UniRef100_UPI001EE360EE|UniRef50_A0A4V6EP44|UniRef90_A0A5D4RZX6
MPDKNC_01212,MPDKNC_01212,CDS,Metal-sensing transcriptional repressor,,COG1937|K,,,K21600,,,,WP_056534198.1,0001217,UPI0006F36F60,UniRef100_A0A5D4RUY2|UniRef50_A0A2W0C5J5|UniRef90_A0A5D4RUY2
MPDKNC_01213,MPDKNC_01213,CDS,Lysine transporter LysE,,COG1280|E,,,,,,,WP_238283901.1,0001217,UPI001EE1FAD3,UniRef100_UPI001EE1FAD3|UniRef50_A0A1M3CUU0|UniRef90_A0A0M0G462
MPDKNC_01214,MPDKNC_01214,CDS,NUDIX domain-containing protein,,,,,,,,,WP_238283902.1,0001217,UPI001EE335AA,UniRef100_UPI001EE335AA|UniRef50_A0A5D4RUT3|UniRef90_UPI00296E4F1B
MPDKNC_01215,MPDKNC_01215,CDS,Glycerol phosphate lipoteichoic acid synthase,,COG1368|M,2.7.8.20,,K19005,,,,WP_238283903.1,0001217,UPI001EE2D121,UniRef100_UPI001EE2D121|UniRef50_O34952|UniRef90_A0A0M0G495
MPDKNC_01216,MPDKNC_01216,CDS,hypothetical protein,,,,,,,,,,0001217,,UniRef50_A0A0M0G4D2
MPDKNC_01217,MPDKNC_01217,CDS,Alpha/beta hydrolase,,COG0596|HR,,,,,,,WP_238283905.1,0001217,UPI001EE1C157,UniRef100_UPI001EE1C157|UniRef50_J8F724|UniRef90_A0A5D4RV24
MPDKNC_01218,MPDKNC_01218,CDS,6-phospho-3-hexuloisomerase,,COG0794|GM,5.3.1.27,,K08094,,,,WP_048005198.1,0001217,UPI00064EA9A7,UniRef100_A0A0J5SI14|UniRef50_L5NDL0|UniRef90_A0A0J5SI14
MPDKNC_01219,MPDKNC_01219,CDS,3-hexulose-6-phosphate synthase,,COG0269|G,,,,,,,WP_048013614.1,0001217,UPI00064E88A7,UniRef100_A0A0J5W0M0|UniRef50_P42405|UniRef90_A0A5D4RWS9
MPDKNC_01220,MPDKNC_01220,CDS,HxlR family transcriptional regulator,,COG1733|K,,,,,,,WP_238283906.1,0001217,UPI001EE33205,UniRef100_UPI001EE33205|UniRef50_A0A5C0WLB7|UniRef90_A0A0M0G491
MPDKNC_01221,MPDKNC_01221,CDS,hypothetical protein,,,,,,,,,,,,
MPDKNC_01222,MPDKNC_01222,CDS,HlyC/CorC family transporter,,COG1253|PT,,,K03699,,,,,0001217,,UniRef50_P54428|UniRef90_A0A0M0G4C8
MPDKNC_01223,MPDKNC_01223,CDS,hypothetical protein,,,,,,,,,WP_238283908.1,0001217,UPI001EE24731,UniRef100_UPI001EE24731|UniRef50_A0A0M0G4X0|UniRef90_UPI001EE24731
MPDKNC_01224,MPDKNC_01224,CDS,1%2C2-oxophytodienoate reductase,,C|COG1902,,,,,,,WP_056534212.1,0001217,UPI0007017EE9,UniRef100_UPI0007017EE9|UniRef50_A0A3C0L5I9|UniRef90_A0A0M0G593
MPDKNC_01225,MPDKNC_01225,CDS,Small GTP-binding protein,,COG3597|S,,,,,,,,0001217,UPI000AD3BFCB,UniRef100_A0A5D4RZE7|UniRef50_F9DWL6|UniRef90_A0A0M0G454
MPDKNC_01226,MPDKNC_01226,CDS,GNAT family acetyltransferase,,COG0456|J,,,,,,,WP_238283909.1,0001217,UPI001EE377BD,UniRef100_UPI001EE377BD|UniRef50_S2Y8X1|UniRef90_A0A0M0G664
MPDKNC_01227,MPDKNC_01227,CDS,ASCH domain-containing protein,,,,,,,,,WP_238283910.1,0001217,UPI001EE2C12B,UniRef100_UPI001EE2C12B|UniRef50_A0A0M0LLD5|UniRef90_A0A5D4RZV0
MPDKNC_01228,MPDKNC_01228,CDS,Regulator,,COG0745|TK,,,,,,,WP_056534220.1,0001217,UPI0006FB80A0,UniRef100_UPI0006FB80A0|UniRef50_A0A6I3SKQ5|UniRef90_A0A0M0G4W5
MPDKNC_01229,MPDKNC_01229,CDS,histidine kinase,,COG5002|T,,,,,,,WP_238283911.1,0001217,UPI001EE261B7,UniRef100_UPI001EE261B7|UniRef50_A0A0M0G589|UniRef90_A0A0M0G589
MPDKNC_01230,MPDKNC_01230,CDS,VOC domain-containing protein,,,,,,,,,WP_056534224.1,0001217,UPI0006FA6F20,UniRef100_UPI0006FA6F20|UniRef50_A0A161RV57|UniRef90_UPI0006FA6F20
MPDKNC_01231,MPDKNC_01231,CDS,hypothetical protein,,,,,,,,,WP_238283912.1,0001217,UPI001EE2508C,UniRef100_UPI001EE2508C|UniRef50_A0A0J5T0J8|UniRef90_A0A0J5T0J8
MPDKNC_01232,MPDKNC_01232,CDS,FAD:protein FMN transferase,,COG1477|HO,2.7.1.180,,K03734,,,,WP_238283913.1,0001217,UPI001EE2304F,UniRef100_UPI001EE2304F|UniRef50_A0A0D6Z8C5|UniRef90_A0A163LR26
MPDKNC_01233,MPDKNC_01233,CDS,Ferric oxidoreductase domain-containing protein,,,,,,,,,WP_238283914.1,0001217,UPI001EE180BE,UniRef100_UPI001EE180BE|UniRef50_A0A0D6Z7G6|UniRef90_A0A0M0G481
MPDKNC_01234,MPDKNC_01234,CDS,ABC transporter,,COG1132|V,,,,,,,WP_238283915.1,0001217,UPI001EE2BB74,UniRef100_UPI001EE2BB74|UniRef50_A0A852TKW8|UniRef90_A0A0M0G4W0
