#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1234206	1234970	+	MPDKNC_01356	28.7	9.4		RefSeq:WP_238283993.1, SO:0001217, UniParc:UPI001EE35651, UniRef:UniRef100_UPI001EE35651, UniRef:UniRef50_A0A5D4RVA3, UniRef:UniRef90_A0A5D4RVA3
contig_1	1238769	1239107	+	MPDKNC_01360	12.3	11.3		
contig_1	1273462	1273560	-	MPDKNC_01393	3.8	9.0		
contig_1	1276252	1276452	-	MPDKNC_01396	7.7	5.6		RefSeq:WP_238284018.1, SO:0001217, UniParc:UPI001EE2DEBF, UniRef:UniRef100_UPI001EE2DEBF, UniRef:UniRef50_UPI001EE2DEBF, UniRef:UniRef90_UPI001EE2DEBF
contig_1	1276486	1276866	-	MPDKNC_01397	14.1	9.5		RefSeq:WP_238284019.1, SO:0001217, UniParc:UPI001EE27F20, UniRef:UniRef100_UPI001EE27F20, UniRef:UniRef50_UPI001EE27F20, UniRef:UniRef90_UPI001EE27F20
contig_1	1281861	1281995	-	MPDKNC_01404	5.2	10.1		SO:0001217, UniRef:UniRef50_A0A0M0G3X3, UniRef:UniRef90_A0A0M0G3X3
contig_1	1286771	1286932	+	MPDKNC_01410	6.2	9.8		RefSeq:WP_156450607.1, SO:0001217, UniParc:UPI000A797B6E, UniRef:UniRef100_UPI000A797B6E, UniRef:UniRef50_UPI000A81F970, UniRef:UniRef90_UPI000A81F970
contig_1	1295992	1296285	+	MPDKNC_01420	10.5	10.2		RefSeq:WP_159129487.1, SO:0001217, UniParc:UPI001330C9F2, UniRef:UniRef100_UPI001330C9F2, UniRef:UniRef50_A0A0M0G3V3, UniRef:UniRef90_A0A0M0G3V3
contig_1	1314299	1314574	+	MPDKNC_01430	10.2	6.7		RefSeq:WP_238284039.1, SO:0001217, UniParc:UPI001EE22327, UniRef:UniRef100_UPI001EE22327, UniRef:UniRef50_A0A0M0G3T1, UniRef:UniRef90_A0A0M0G3T1
contig_1	1314610	1315206	-	MPDKNC_01431	21.6	4.2		RefSeq:WP_238284040.1, SO:0001217, UniParc:UPI001EE1DF39, UniRef:UniRef100_UPI001EE1DF39, UniRef:UniRef50_A0A0M0G3U4, UniRef:UniRef90_A0A0M0G3U4
contig_1	1335173	1335478	-	MPDKNC_01449	10.6	8.1		
contig_1	1336761	1336895	+	MPDKNC_01452	4.8	4.7		SO:0001217, UniRef:UniRef50_A0A6F8TPD4
contig_1	1344175	1344879	+	MPDKNC_01461	25.9	4.8		RefSeq:WP_238284062.1, SO:0001217, UniParc:UPI001EE19C85, UniRef:UniRef100_UPI001EE19C85, UniRef:UniRef50_A0A0M0G488, UniRef:UniRef90_A0A0M0G488
contig_1	1347386	1347547	+	MPDKNC_01463	5.6	4.1		RefSeq:WP_156184481.1, SO:0001217, UniParc:UPI000B23F090, UniRef:UniRef100_UPI000B23F090, UniRef:UniRef50_UPI000A611661, UniRef:UniRef90_UPI000A611661
contig_1	1347624	1347968	+	MPDKNC_01464	12.9	6.3		RefSeq:WP_048004989.1, SO:0001217, UniParc:UPI00064EC284, UniRef:UniRef100_A0A165KAF6, UniRef:UniRef50_A0A0M0G3K7, UniRef:UniRef90_A0A0M0G3K7
contig_1	1369937	1370344	+	MPDKNC_01487	15.9	5.0	PF14182.11|YgaB	PFAM:PF14182.11
contig_1	1433602	1433709	-	MPDKNC_01562	4.0	5.9		
contig_1	1434823	1435020	+	MPDKNC_01564	7.5	11.6		RefSeq:WP_056538206.1, SO:0001217, UniParc:UPI0006F2DA8B, UniRef:UniRef100_A0A5D4RV99, UniRef:UniRef50_A0A5D4RV99, UniRef:UniRef90_A0A5D4RV99
contig_1	1454649	1454993	+	MPDKNC_01583	13.2	4.8		RefSeq:WP_053427657.1, SO:0001217, UniParc:UPI0006A97B4F, UniRef:UniRef100_A0A0M0GRW8, UniRef:UniRef50_A0A0M0GRW8, UniRef:UniRef90_A0A0M0GRW8
contig_1	1464950	1465057	+	MPDKNC_01596	4.0	4.9		SO:0001217, UniRef:UniRef50_A0A800MVT1
contig_1	1525047	1525232	-	MPDKNC_01658	6.7	8.3		RefSeq:WP_048004385.1, SO:0001217, UniParc:UPI00064E70E5, UniRef:UniRef100_A0A5D4RTY5, UniRef:UniRef50_A0A5D4RTY5, UniRef:UniRef90_A0A5D4RTY5
contig_1	1583676	1584389	+	MPDKNC_01714	26.7	5.0		SO:0001217, UniRef:UniRef50_A0A0M0GSI0, UniRef:UniRef90_A0A0M0GSI0
contig_1	1623617	1623859	+	MPDKNC_01759	9.1	8.0		RefSeq:WP_056537765.1, SO:0001217, UniParc:UPI00070090D0, UniRef:UniRef100_A0A5D4RWS0, UniRef:UniRef50_A0A0M0GQZ3, UniRef:UniRef90_A0A0M0GQZ3
contig_1	1637650	1637892	-	MPDKNC_01776	9.2	4.9		SO:0001217, UniRef:UniRef50_A0A5D4RWV8, UniRef:UniRef90_A0A5D4RWV8
contig_1	1653601	1654455	-	MPDKNC_01789	32.9	9.4		RefSeq:WP_238284175.1, SO:0001217, UniParc:UPI001EE17C09, UniRef:UniRef100_UPI001EE17C09, UniRef:UniRef50_A0A0M0GQW8, UniRef:UniRef90_A0A0M0GQW8
contig_1	1665682	1665819	+	MPDKNC_01799	5.3	9.4		
contig_1	1692912	1693172	+	MPDKNC_01824	9.7	6.3		RefSeq:WP_079515872.1, SO:0001217, UniParc:UPI0009A8529B, UniRef:UniRef100_UPI0009A8529B, UniRef:UniRef50_A0A0M0GS40, UniRef:UniRef90_A0A0M0GS40
contig_1	1700823	1701011	+	MPDKNC_01833	6.8	9.5		
contig_1	1703285	1703503	+	MPDKNC_01837	8.3	9.8		RefSeq:WP_079515877.1, SO:0001217, UniParc:UPI0009A7F2D6, UniRef:UniRef100_A0A5D4RUF2, UniRef:UniRef50_A0A0M0GS30, UniRef:UniRef90_A0A0M0GS30
contig_1	1706343	1706585	+	MPDKNC_01840	8.9	6.5		RefSeq:WP_148985411.1, SO:0001217, UniParc:UPI0011E95DE3, UniRef:UniRef100_A0A5D4RW32, UniRef:UniRef50_A0A5D4RW32, UniRef:UniRef90_A0A5D4RW32
contig_1	1707427	1707543	+	MPDKNC_01842	4.4	6.8		
contig_1	1713006	1715390	+	MPDKNC_01850	88.0	4.9	PF24157.1|DUF7408	PFAM:PF24157.1, RefSeq:WP_238284197.1, SO:0001217, UniParc:UPI001EE1E855, UniRef:UniRef100_UPI001EE1E855, UniRef:UniRef50_A0A0M0GS70, UniRef:UniRef90_A0A0M0GS70
contig_1	1717175	1718692	+	MPDKNC_01853	55.2	7.7		RefSeq:WP_238284199.1, SO:0001217, UniParc:UPI001EE26361, UniRef:UniRef100_UPI001EE26361, UniRef:UniRef50_A0A5D4RWJ7, UniRef:UniRef90_A0A5D4RWJ7
contig_1	1743513	1743902	-	MPDKNC_01873	14.5	5.1		RefSeq:WP_056537532.1, SO:0001217, UniParc:UPI0006FCD922, UniRef:UniRef100_A0A5D4RW03, UniRef:UniRef50_A0A0M0GS06, UniRef:UniRef90_A0A0M0GS06
contig_1	1744112	1744360	+	MPDKNC_01874	9.8	9.0		RefSeq:WP_056537529.1, SO:0001217, UniParc:UPI0006FD8C5F, UniRef:UniRef100_A0A5D4RRX1, UniRef:UniRef50_A0A0M0GS51, UniRef:UniRef90_A0A0M0GS51
contig_1	1753472	1753915	-	MPDKNC_01886	17.0	6.8		RefSeq:WP_238284207.1, SO:0001217, UniParc:UPI001EE21B64, UniRef:UniRef100_UPI001EE21B64, UniRef:UniRef50_A0A0M0GQN0, UniRef:UniRef90_A0A0M0GQN0
contig_1	1778305	1778616	-	MPDKNC_01913	12.4	8.7		SO:0001217, UniRef:UniRef50_A0A0B5AS95, UniRef:UniRef90_A0A0M0GQK7
contig_1	1802816	1803142	+	MPDKNC_01939	11.8	5.0		RefSeq:WP_056537391.1, SO:0001217, UniParc:UPI0007004624, UniRef:UniRef100_UPI0007004624, UniRef:UniRef50_A0A163LDW5, UniRef:UniRef90_A0A5D4RWB0
contig_1	1853378	1853542	+	MPDKNC_01986	6.3	9.2		
contig_1	1856240	1856713	+	MPDKNC_01991	17.3	10.9		
contig_1	1917611	1917880	+	MPDKNC_02056	10.0	9.9		RefSeq:WP_079515960.1, SO:0001217, UniParc:UPI0009A78A5E, UniRef:UniRef100_UPI0009A78A5E, UniRef:UniRef50_A0A0M0GQ88, UniRef:UniRef90_A0A0M0GQ88
contig_1	1978088	1978603	-	MPDKNC_02111	20.5	8.7		RefSeq:WP_238284273.1, SO:0001217, UniParc:UPI001EE386E7, UniRef:UniRef100_UPI001EE386E7, UniRef:UniRef50_A0A0M0GQK4, UniRef:UniRef90_A0A0M0GQK4
contig_1	1980352	1981407	+	MPDKNC_02113	40.9	6.0		RefSeq:WP_238284274.1, SO:0001217, UniParc:UPI001EE16705, UniRef:UniRef100_UPI001EE16705, UniRef:UniRef50_A0A0M0GRH3, UniRef:UniRef90_A0A0M0GRH3
contig_1	1981431	1981565	+	MPDKNC_02114	5.2	10.1		SO:0001217, UniRef:UniRef50_A0A6F8TQ73
contig_1	1993094	1994263	+	MPDKNC_02127	44.7	5.4		SO:0001217, UniRef:UniRef50_A0A165KR25, UniRef:UniRef90_A0A0M0GQI6
contig_1	2005304	2006095	+	MPDKNC_02136	29.3	7.9		RefSeq:WP_238284287.1, SO:0001217, UniParc:UPI001EE32358, UniRef:UniRef100_UPI001EE32358, UniRef:UniRef50_A0A165KR48, UniRef:UniRef90_A0A5D4RVZ0
contig_1	2035290	2035739	+	MPDKNC_02162	16.1	9.7		RefSeq:WP_238284302.1, SO:0001217, UniParc:UPI001EE37B56, UniRef:UniRef100_UPI001EE37B56, UniRef:UniRef50_A0A5D4RS15, UniRef:UniRef90_UPI001EE37B56
contig_1	2036494	2036706	+	MPDKNC_02164	8.4	5.0		RefSeq:WP_238284304.1, SO:0001217, UniParc:UPI001EE27DEB, UniRef:UniRef100_UPI001EE27DEB, UniRef:UniRef50_A0A5D4RVL4, UniRef:UniRef90_UPI001EE27DEB
contig_1	2053578	2053745	+	MPDKNC_02180	6.4	9.8		
contig_1	2056132	2056260	+	MPDKNC_02184	4.8	9.7		
contig_1	2068948	2069157	-	MPDKNC_02194	7.9	7.8		SO:0001217, UniRef:UniRef50_A0A0J5Y6H3, UniRef:UniRef90_A0A0M0GR65
contig_1	2084734	2088282	+	MPDKNC_02211	110.0	4.1	PF01391.23|Collagen	PFAM:PF01391.23
contig_1	2100924	2101112	+	MPDKNC_02224	7.6	5.1		RefSeq:WP_056536796.1, SO:0001217, UniParc:UPI0006F49653, UniRef:UniRef100_A0A5D4S057, UniRef:UniRef50_A0A0M0GQB1, UniRef:UniRef90_A0A0M0GQB1
contig_1	2103843	2104169	+	MPDKNC_02228	11.6	8.7		
contig_1	2114362	2114610	-	MPDKNC_02239	9.5	5.3		RefSeq:WP_238284338.1, SO:0001217, UniParc:UPI001EE25AE6, UniRef:UniRef100_UPI001EE25AE6, UniRef:UniRef50_A0A0J1ILE9, UniRef:UniRef90_A0A0M0GR04
contig_1	2122029	2122436	+	MPDKNC_02248	15.7	4.9		RefSeq:WP_238284346.1, SO:0001217, UniParc:UPI001EE2277D, UniRef:UniRef100_UPI001EE2277D, UniRef:UniRef50_A0A0M0GQ63, UniRef:UniRef90_A0A0M0GQ63
contig_1	2128749	2129138	-	MPDKNC_02254	14.6	5.3		RefSeq:WP_079516058.1, SO:0001217, UniParc:UPI0009A70E5D, UniRef:UniRef100_A0A5D4RZC1, UniRef:UniRef50_A0A0M0GQY6, UniRef:UniRef90_A0A5D4RZC1
contig_1	2148945	2149205	+	MPDKNC_02271	10.3	4.7		RefSeq:WP_079516074.1, SO:0001217, UniParc:UPI0009A658AF, UniRef:UniRef100_A0A5D4RXE1, UniRef:UniRef50_A0A0M0GQX0, UniRef:UniRef90_A0A0M0GQX0
contig_1	2153065	2153232	+	MPDKNC_02277	7.0	8.8		
contig_1	2157063	2157281	+	MPDKNC_02282	8.4	5.3		RefSeq:WP_148984236.1, SO:0001217, UniParc:UPI0011E903D0, UniRef:UniRef100_A0A5D4S2C0, UniRef:UniRef50_A0A0M0GPP2, UniRef:UniRef90_A0A0M0GPP2
contig_1	2162797	2162913	+	MPDKNC_02288	4.5	9.6		
contig_1	2179885	2180064	-	MPDKNC_02306	6.7	5.7		
contig_1	2189023	2189874	+	MPDKNC_02317	33.1	4.9		RefSeq:WP_238281098.1, SO:0001217, UniParc:UPI001EE29281, UniRef:UniRef100_UPI001EE29281, UniRef:UniRef50_A0A0M0GQT4, UniRef:UniRef90_A0A0M0GQT4
contig_1	2236185	2236478	-	MPDKNC_02363	11.6	8.0		SO:0001217, UniRef:UniRef50_A0A0J5WCK9
contig_1	2239515	2239811	-	MPDKNC_02368	10.9	7.7		
contig_1	2239878	2240057	+	MPDKNC_02369	6.7	9.1		RefSeq:WP_056536456.1, SO:0001217, UniParc:UPI0006F24055, UniRef:UniRef100_UPI0006F24055, UniRef:UniRef50_A0A5D4RZM3, UniRef:UniRef90_A0A5D4RZM3
contig_1	2243420	2243650	-	MPDKNC_02373	8.0	9.2		RefSeq:WP_056536451.1, SO:0001217, UniParc:UPI0006F5E755, UniRef:UniRef100_A0A5D4RXN9, UniRef:UniRef50_A0A0M0GQP6, UniRef:UniRef90_A0A0M0GQP6
contig_1	2243757	2244170	-	MPDKNC_02374	16.3	4.9		RefSeq:WP_056536448.1, SO:0001217, UniParc:UPI0006F89F62, UniRef:UniRef100_A0A5D4S229, UniRef:UniRef50_A0A0M0GQW9, UniRef:UniRef90_A0A0M0GQW9
contig_1	2250029	2250184	-	MPDKNC_02379	5.6	8.5		RefSeq:WP_156450645.1, SO:0001217, UniParc:UPI000B14E000, UniRef:UniRef100_UPI000B14E000, UniRef:UniRef50_UPI0025C89624, UniRef:UniRef90_UPI0025C89624
contig_1	2252598	2252756	-	MPDKNC_02383	6.1	6.5		RefSeq:WP_164468452.1, SO:0001217, UniParc:UPI000A442151, UniRef:UniRef100_UPI000A442151, UniRef:UniRef50_UPI0028531E3D, UniRef:UniRef90_UPI0028531E3D
contig_1	2260037	2260885	+	MPDKNC_02392	31.8	6.0		SO:0001217, UniRef:UniRef50_A0A0M0GPF5, UniRef:UniRef90_A0A5D4RZP3
contig_1	2268999	2269532	-	MPDKNC_02400	19.6	4.9		RefSeq:WP_056536381.1, SO:0001217, UniParc:UPI0006FEF29A, UniRef:UniRef100_UPI0006FEF29A, UniRef:UniRef50_A0A0M0GQL9, UniRef:UniRef90_A0A0M0GQL9
contig_1	2290641	2290766	-	MPDKNC_02424	4.9	8.2		
contig_1	2323669	2323785	+	MPDKNC_02461	4.2	6.0		
contig_1	2355822	2355950	-	MPDKNC_02490	5.1	8.0		
contig_1	2373569	2373667	-	MPDKNC_02509	4.0	9.9		
contig_1	2380992	2381117	-	MPDKNC_02515	4.9	8.3		SO:0001217, UniRef:UniRef50_A0A7V9YXZ3
contig_1	2381330	2381518	+	MPDKNC_02516	7.2	11.4		RefSeq:WP_238281217.1, SO:0001217, UniParc:UPI001EE31DB9, UniRef:UniRef100_UPI001EE31DB9, UniRef:UniRef50_A0A0M0GPD5, UniRef:UniRef90_A0A0M0GPD5
contig_1	2384352	2384465	-	MPDKNC_02522	4.4	4.2		SO:0001217, UniRef:UniRef50_A0A366EFG3
contig_1	2384634	2384825	+	MPDKNC_02523	7.2	9.5		RefSeq:WP_048012860.1, SO:0001217, UniParc:UPI00064E1F40, UniRef:UniRef100_A0A0J5YD86, UniRef:UniRef50_A0A0J5YD86, UniRef:UniRef90_A0A0J5YD86
contig_1	2433632	2434150	+	MPDKNC_02577	19.8	10.1		RefSeq:WP_238281272.1, SO:0001217, UniParc:UPI001EE2EFEA, UniRef:UniRef100_UPI001EE2EFEA, UniRef:UniRef50_A0A161SZQ4, UniRef:UniRef90_A0A5D4S3M9
contig_1	2443433	2443696	-	MPDKNC_02587	10.0	6.4		RefSeq:WP_079516233.1, SO:0001217, UniParc:UPI0009A75292, UniRef:UniRef100_A0A5D4RZU6, UniRef:UniRef50_A0A0J5T3K8, UniRef:UniRef90_A0A0M0GP77
contig_1	2455477	2455638	+	MPDKNC_02601	6.3	8.2		RefSeq:WP_156450634.1, SO:0001217, UniParc:UPI000A4CE9D4, UniRef:UniRef100_UPI000A4CE9D4, UniRef:UniRef50_A0A6I6UKN7, UniRef:UniRef90_UPI001653A001
contig_1	2493608	2493874	+	MPDKNC_02645	10.0	9.6		SO:0001217, UniRef:UniRef50_A0A0J5S8S1
contig_1	2501575	2501739	-	MPDKNC_02654	6.4	10.4		RefSeq:WP_156450632.1, SO:0001217, UniParc:UPI000AC32ADD, UniRef:UniRef100_UPI000AC32ADD, UniRef:UniRef50_UPI000AC32ADD, UniRef:UniRef90_UPI000AC32ADD
contig_1	2509912	2510082	-	MPDKNC_02661	6.5	5.2		RefSeq:WP_159640171.1, SO:0001217, UniParc:UPI000A7D1B37, UniRef:UniRef100_A0A5D4RYY5, UniRef:UniRef50_A0A5D4RYY5, UniRef:UniRef90_A0A5D4RYY5
contig_1	2519342	2519551	-	MPDKNC_02673	8.3	5.3		RefSeq:WP_238281340.1, SO:0001217, UniParc:UPI001EE1E62E, UniRef:UniRef100_UPI001EE1E62E, UniRef:UniRef50_A0A5D4S487, UniRef:UniRef90_A0A5D4S487
contig_1	2548973	2549836	-	MPDKNC_02705	33.0	6.4		SO:0001217, UniRef:UniRef50_A0A0M0GNZ2, UniRef:UniRef90_A0A0M0GNZ2
contig_1	2569261	2569872	-	MPDKNC_02727	22.8	8.5	PF24124.1|YphA	PFAM:PF24124.1, SO:0001217, UniRef:UniRef50_A0A0M0GNX1, UniRef:UniRef90_A0A0M0GNX1
contig_1	2584382	2584753	-	MPDKNC_02744	13.8	9.7		RefSeq:WP_238281385.1, SO:0001217, UniParc:UPI001EE239CE, UniRef:UniRef100_UPI001EE239CE, UniRef:UniRef50_A0A0M0GQ28, UniRef:UniRef90_A0A0M0GQ28
contig_1	2636640	2636876	+	MPDKNC_02807	8.8	5.7		SO:0001217, UniRef:UniRef50_A0A0M0GNR1, UniRef:UniRef90_A0A0M0GNR1
contig_1	2643062	2643298	-	MPDKNC_02814	9.1	5.1		SO:0001217, UniRef:UniRef50_A0A0J5SEP5
contig_1	2717292	2717681	-	MPDKNC_02883	14.6	8.8		KEGG:K02249, SO:0001217, UniRef:UniRef50_A0A5D4S2E7, UniRef:UniRef90_A0A5D4S2E7
contig_1	2737034	2737180	-	MPDKNC_02910	5.8	8.2		
contig_1	2741406	2741936	-	MPDKNC_02915	20.6	9.5		
contig_1	2743559	2744428	+	MPDKNC_02917	32.4	6.8		RefSeq:WP_238281490.1, SO:0001217, UniParc:UPI001EE29015, UniRef:UniRef100_UPI001EE29015, UniRef:UniRef50_A0A0M0GT52, UniRef:UniRef90_A0A0M0GT52
contig_1	2746044	2746220	-	MPDKNC_02919	6.9	12.0		RefSeq:WP_162838943.1, SO:0001217, UniParc:UPI000B025843, UniRef:UniRef100_UPI000B025843, UniRef:UniRef50_A0A6I6UL58, UniRef:UniRef90_UPI00165368BF
contig_1	2747969	2748544	-	MPDKNC_02923	22.0	8.4		RefSeq:WP_056535344.1, SO:0001217, UniParc:UPI0007004D6D, UniRef:UniRef100_A0A5D4RZP1, UniRef:UniRef50_A0A0M0GNE1, UniRef:UniRef90_A0A0M0GNE1
contig_1	2752756	2753091	+	MPDKNC_02927	12.5	7.9		RefSeq:WP_056535335.1, SO:0001217, UniParc:UPI00070211C3, UniRef:UniRef100_A0A5D4S2J3, UniRef:UniRef50_A0A0M0GPL6, UniRef:UniRef90_A0A0M0GPL6
contig_1	2778455	2778556	-	MPDKNC_02954	3.6	8.3		
contig_1	2784076	2784600	-	MPDKNC_02961	19.5	8.5		RefSeq:WP_238281525.1, SO:0001217, UniParc:UPI001EE36E13, UniRef:UniRef100_UPI001EE36E13, UniRef:UniRef50_A0A165JB27, UniRef:UniRef90_A0A0M0GSZ1
contig_1	2800254	2800745	+	MPDKNC_02978	18.7	6.7		SO:0001217, UniRef:UniRef50_A0A917TW24
contig_1	2801012	2801437	-	MPDKNC_02979	16.3	10.3		RefSeq:WP_056535281.1, SO:0001217, UniParc:UPI0006FBAE6E, UniRef:UniRef100_A0A5D4RZT7, UniRef:UniRef50_A0A0M0GPH1, UniRef:UniRef90_A0A0M0GPH1
contig_1	2804731	2805900	+	MPDKNC_02984	42.2	9.3		
contig_1	2805778	2806041	-	MPDKNC_02985	9.7	9.8		
contig_1	2822944	2823222	-	MPDKNC_03001	10.6	6.4		RefSeq:WP_238281550.1, SO:0001217, UniParc:UPI001EE37ED8, UniRef:UniRef100_UPI001EE37ED8, UniRef:UniRef50_UPI001EE37ED8, UniRef:UniRef90_UPI001EE37ED8
contig_1	2835736	2835876	-	MPDKNC_03018	5.1	5.3		
contig_1	2868256	2868540	-	MPDKNC_03053	10.5	9.6		
contig_1	2895989	2896261	-	MPDKNC_03077	9.9	9.6		
contig_1	2900927	2901205	-	MPDKNC_03084	10.2	11.9		
contig_1	2935585	2936781	-	MPDKNC_03122	44.7	4.1		RefSeq:WP_238281643.1, SO:0001217, UniParc:UPI001EE2A004, UniRef:UniRef100_UPI001EE2A004, UniRef:UniRef50_A0A5D4S2Z1, UniRef:UniRef90_A0A5D4S2Z1
contig_1	2967061	2967729	-	MPDKNC_03148	24.1	4.9		RefSeq:WP_238281667.1, SO:0001217, UniParc:UPI001EE2E9B0, UniRef:UniRef100_UPI001EE2E9B0, UniRef:UniRef50_A0A165IJT5, UniRef:UniRef90_UPI003457AB6E
contig_1	2995832	2996275	-	MPDKNC_03178	16.5	10.6		
contig_1	3047737	3047967	-	MPDKNC_03227	8.7	10.4		RefSeq:WP_079516614.1, SO:0001217, UniParc:UPI0009A585D3, UniRef:UniRef100_A0A5D4S4L9, UniRef:UniRef50_A0A0P6WHX1, UniRef:UniRef90_A0A5D4S4L9
contig_1	3081365	3081511	-	MPDKNC_03258	5.7	10.6		
contig_1	3081971	3082228	-	MPDKNC_03259	9.4	6.3		
contig_1	3105110	3105739	-	MPDKNC_03278	24.3	5.7		RefSeq:WP_238281764.1, SO:0001217, UniParc:UPI001EE211A2, UniRef:UniRef100_UPI001EE211A2, UniRef:UniRef50_A0A0M0GMS0, UniRef:UniRef90_A0A0M0GMS0
contig_1	3144320	3144730	-	MPDKNC_03315	15.7	7.8	PF10732.14|DUF2524	PFAM:PF10732.14
contig_1	3216946	3217875	-	MPDKNC_03404	34.7	6.3		RefSeq:WP_238281890.1, SO:0001217, UniParc:UPI001EE1CEE9, UniRef:UniRef100_UPI001EE1CEE9, UniRef:UniRef50_A0A5D4RTH7, UniRef:UniRef90_A0A5D4RTH7
contig_1	3218142	3218912	-	MPDKNC_03405	29.2	9.7		RefSeq:WP_238281891.1, SO:0001217, UniParc:UPI001EE19477, UniRef:UniRef100_UPI001EE19477, UniRef:UniRef50_A0A0M0G2F7, UniRef:UniRef90_A0A5D4RNB5
contig_1	3221646	3223061	-	MPDKNC_03407	51.8	5.3	PF06439.18|3keto-disac_hyd	PFAM:PF06439.18, SO:0001217, UniRef:UniRef50_UPI0013172D27, UniRef:UniRef90_UPI001EE35719
contig_1	3231107	3231346	+	MPDKNC_03414	9.0	9.7		SO:0001217, UniRef:UniRef50_A0A0M0G3F4, UniRef:UniRef90_A0A0M0G3F4
contig_1	3266093	3266341	-	MPDKNC_03448	9.3	4.7		RefSeq:WP_048014636.1, SO:0001217, UniParc:UPI00064E5CD9, UniRef:UniRef100_A0A5D4RPL5, UniRef:UniRef50_A0A0J5TD11, UniRef:UniRef90_A0A5D4RPL5
contig_1	3275347	3275715	+	MPDKNC_03460	13.8	9.1		SO:0001217, UniRef:UniRef50_A0A0M0G3K9, UniRef:UniRef90_A0A0M0G3K9
contig_1	3292922	3293107	+	MPDKNC_03481	7.3	8.7		
contig_1	3324793	3325098	+	MPDKNC_03515	11.1	10.2	PF14115.11|YuzL	PFAM:PF14115.11, SO:0001217, UniRef:UniRef50_A0A0M0G241, UniRef:UniRef90_A0A0M0G241
contig_1	3327891	3328460	-	MPDKNC_03521	20.6	9.0		
contig_1	3329020	3329661	+	MPDKNC_03522	24.5	5.5		SO:0001217, UniRef:UniRef50_Q5UIR5, UniRef:UniRef90_A0A165LZU0
contig_1	3372508	3373062	-	MPDKNC_03567	19.7	4.1		RefSeq:WP_238282128.1, SO:0001217, UniParc:UPI001EE170B0, UniRef:UniRef100_UPI001EE170B0, UniRef:UniRef50_A0A0M0G1Z3, UniRef:UniRef90_A0A0M0G1Z3
contig_1	3393914	3394015	-	MPDKNC_03591	3.6	6.5		
contig_1	3410698	3410913	-	MPDKNC_03607	8.2	6.7		RefSeq:WP_079515581.1, SO:0001217, UniParc:UPI0009A64991, UniRef:UniRef100_UPI0009A64991, UniRef:UniRef50_A0A165LYD8, UniRef:UniRef90_A0A165LYD8
contig_1	3416572	3416682	-	MPDKNC_03613	4.1	4.5		
contig_1	3438706	3439254	+	MPDKNC_03636	20.4	4.1		RefSeq:WP_079515564.1, SO:0001217, UniParc:UPI0009A6152F, UniRef:UniRef100_UPI0009A6152F, UniRef:UniRef50_A0A5D4RNW1, UniRef:UniRef90_A0A5D4RNW1
contig_1	3442016	3442219	+	MPDKNC_03640	7.9	11.6		
contig_1	3442206	3442469	-	MPDKNC_03641	9.9	9.9		SO:0001217, UniRef:UniRef50_A0A0M0G2E0, UniRef:UniRef90_A0A0M0G2E0
contig_1	3451900	3452043	+	MPDKNC_03650	5.4	9.7		
contig_1	3474746	3474934	-	MPDKNC_03674	7.3	9.0		
contig_1	3484163	3484258	-	MPDKNC_03684	3.3	6.1		
contig_1	3484556	3484801	-	MPDKNC_03686	9.6	10.1		RefSeq:WP_238282396.1, SO:0001217, UniParc:UPI001EE33FC0, UniRef:UniRef100_UPI001EE33FC0, UniRef:UniRef50_A0A163MUG2, UniRef:UniRef90_UPI001EE33FC0
contig_1	3485739	3486377	-	MPDKNC_03688	25.8	9.6		RefSeq:WP_238282400.1, SO:0001217, UniParc:UPI001EE22895, UniRef:UniRef100_UPI001EE22895, UniRef:UniRef50_UPI001EE22895, UniRef:UniRef90_UPI001EE22895
contig_1	3486441	3486674	-	MPDKNC_03689	9.3	9.8		SO:0001217, UniRef:UniRef50_UPI001EE27058, UniRef:UniRef90_UPI001EE27058
contig_1	3486958	3487740	-	MPDKNC_03690	29.9	5.3		RefSeq:WP_238282403.1, SO:0001217, UniParc:UPI001EE1AB7E, UniRef:UniRef100_UPI001EE1AB7E, UniRef:UniRef50_A0A7G7FXK1, UniRef:UniRef90_UPI001EE1AB7E
contig_1	3489246	3489341	-	MPDKNC_03693	3.7	9.3		
contig_1	3490856	3491011	+	MPDKNC_03695	5.8	9.5		RefSeq:WP_238282411.1, SO:0001217, UniParc:UPI001EE39B38, UniRef:UniRef100_UPI001EE39B38, UniRef:UniRef50_A0A927G0U0, UniRef:UniRef90_UPI0025B11A26
contig_1	3491589	3491753	-	MPDKNC_03697	6.3	10.3		
contig_1	3494211	3494408	+	MPDKNC_03702	7.8	10.1		
contig_1	3494405	3494764	+	MPDKNC_03703	13.7	9.2		RefSeq:WP_337946919.1, SO:0001217, UniParc:UPI003080929B, UniRef:UniRef100_UPI003080929B, UniRef:UniRef50_UPI003080929B, UniRef:UniRef90_UPI003080929B
contig_1	3494785	3494979	+	MPDKNC_03704	7.3	5.6		SO:0001217, UniRef:UniRef50_UPI0030800EEF, UniRef:UniRef90_UPI0030800EEF
